primary_type,date,value
ARSON,2023-05-28,2
ARSON,2023-05-29,4
ARSON,2023-05-30,2
ARSON,2023-05-31,1
ARSON,2023-06-01,4
ARSON,2023-06-02,4
ARSON,2023-06-03,4
ARSON,2023-06-04,1
ARSON,2023-06-05,2
ARSON,2023-06-09,2
ARSON,2023-06-10,3
ARSON,2023-06-11,1
ARSON,2023-06-12,1
ARSON,2023-06-13,1
ARSON,2023-06-14,1
ARSON,2023-06-15,2
ARSON,2023-06-17,1
ARSON,2023-06-18,3
ARSON,2023-06-19,2
ARSON,2023-06-20,1
ARSON,2023-06-21,3
ARSON,2023-06-22,1
ARSON,2023-06-23,2
ARSON,2023-06-24,1
ARSON,2023-06-25,2
ARSON,2023-06-28,2
ARSON,2023-06-29,2
ARSON,2023-07-01,1
ARSON,2023-07-02,1
ARSON,2023-07-03,1
ARSON,2023-07-04,2
ARSON,2023-07-06,2
ARSON,2023-07-07,1
ARSON,2023-07-08,2
ARSON,2023-07-09,3
ASSAULT,2010-01-02,2
ASSAULT,2010-01-03,1
ASSAULT,2010-01-05,1
ASSAULT,2010-01-07,1
ASSAULT,2010-01-08,4
ASSAULT,2010-01-09,2
ASSAULT,2010-01-11,1
ASSAULT,2010-01-13,1
ASSAULT,2010-01-14,2
ASSAULT,2010-01-15,5
ASSAULT,2010-01-16,2
ASSAULT,2010-01-17,1
ASSAULT,2010-01-19,1
ASSAULT,2010-01-20,2
ASSAULT,2010-01-23,3
ASSAULT,2010-01-25,1
ASSAULT,2010-02-01,2
ASSAULT,2010-02-02,1
ASSAULT,2010-02-03,1
ASSAULT,2010-02-04,2
ASSAULT,2010-02-05,1
ASSAULT,2010-02-10,3
ASSAULT,2010-02-12,1
ASSAULT,2010-02-13,1
ASSAULT,2010-02-17,2
ASSAULT,2010-02-19,3
ASSAULT,2010-02-21,1
ASSAULT,2010-02-22,2
ASSAULT,2010-02-23,1
ASSAULT,2010-02-24,1
ASSAULT,2010-02-26,1
ASSAULT,2010-02-28,1
ASSAULT,2010-03-02,1
ASSAULT,2010-03-03,2
ASSAULT,2010-03-06,2
ASSAULT,2010-03-08,1
ASSAULT,2010-03-09,1
ASSAULT,2010-03-11,1
ASSAULT,2010-03-15,1
ASSAULT,2010-03-16,2
ASSAULT,2010-03-17,1
ASSAULT,2010-03-22,1
ASSAULT,2010-03-23,1
ASSAULT,2010-03-26,1
ASSAULT,2010-03-27,1
