date,value
11/15/13,15
11/16/13,7
11/17/13,5
11/18/13,7
11/19/13,10
11/20/13,15
11/21/13,15
11/22/13,18
11/23/13,13
11/24/13,10
11/25/13,12
11/26/13,17
11/27/13,12
11/28/13,10
11/29/13,15
11/30/13,9
12/1/13,41
12/2/13,15
12/3/13,17
12/4/13,14
12/5/13,11
12/6/13,13
12/7/13,5
12/8/13,7
12/9/13,16
12/10/13,7
12/11/13,12
12/12/13,12
12/13/13,15
12/14/13,7
12/15/13,9
12/16/13,14
12/17/13,12
12/18/13,14
12/19/13,12
12/20/13,15
12/21/13,10
12/22/13,22
12/23/13,20
12/24/13,18
12/25/13,8
12/26/13,8
12/27/13,10
12/28/13,10
12/29/13,8
12/30/13,14
12/31/13,17
1/1/14,277
1/2/14,18
1/3/14,14
1/4/14,12
1/5/14,10
1/6/14,9
1/7/14,9
1/8/14,12
1/9/14,20
1/10/14,10
1/11/14,14
1/12/14,6
1/13/14,12
1/14/14,19
1/15/14,12
1/16/14,8
1/17/14,9
1/18/14,6
1/19/14,9
1/20/14,12
1/21/14,7
1/22/14,10
1/23/14,17
1/24/14,9
1/25/14,10
1/26/14,9
1/27/14,16
1/28/14,25
1/29/14,12
1/30/14,14
1/31/14,11
2/1/14,45
2/2/14,9
2/3/14,13
2/4/14,8
2/5/14,8
2/6/14,6
2/7/14,12
2/8/14,10
2/9/14,11
2/10/14,11
2/11/14,11
2/12/14,13
2/13/14,11
2/14/14,16
2/15/14,12
2/16/14,2
2/17/14,15
2/18/14,19
2/19/14,14
2/20/14,17
2/21/14,12
2/22/14,15
2/23/14,6
2/24/14,19
2/25/14,7
2/26/14,10
2/27/14,5
2/28/14,13
3/1/14,56
3/2/14,10
3/3/14,12
3/4/14,9
3/5/14,8
3/6/14,14
3/7/14,14
3/8/14,13
3/9/14,8
3/10/14,9
3/11/14,7
3/12/14,12
3/13/14,8
3/14/14,13
3/15/14,17
3/16/14,5
3/17/14,9
3/18/14,11
3/19/14,14
3/20/14,17
3/21/14,13
3/22/14,9
3/23/14,11
3/24/14,12
3/25/14,12
3/26/14,8
3/27/14,7
3/28/14,13
3/29/14,14
3/30/14,10
3/31/14,8
4/1/14,77
4/2/14,12
4/3/14,17
4/4/14,13
4/5/14,18
4/6/14,8
4/7/14,21
4/8/14,12
4/9/14,11
4/10/14,12
4/11/14,12
4/12/14,27
4/13/14,4
4/14/14,24
4/15/14,22
4/16/14,15
4/17/14,15
4/18/14,8
4/19/14,11
4/20/14,10
4/21/14,17
4/22/14,13
4/23/14,10
4/24/14,14
4/25/14,14
4/26/14,13
4/27/14,15
4/28/14,17
4/29/14,9
4/30/14,9
5/1/14,68
5/2/14,14
5/3/14,7
5/4/14,7
5/5/14,19
5/6/14,16
5/7/14,8
5/8/14,7
5/9/14,11
5/10/14,20
5/11/14,13
5/12/14,14
5/13/14,10
5/14/14,17
5/15/14,14
5/16/14,17
